廠商\政黨,中國國民黨,民主進步黨,時代力量,無黨及其他
世聯倉運股份有限公司,0.0,20000.0,100000.0,0.0
世芥蘭業股份有限公司,0.0,100000.0,0.0,0.0
世芳開發有限公司,0.0,0.0,0.0,0.0
世英營造有限公司,0.0,0.0,0.0,0.0
世華石油股份有限公司,0.0,30000.0,0.0,0.0
世裕工程有限公司,0.0,0.0,0.0,0.0
世豐國際建築開發股份有限公司,0.0,0.0,0.0,0.0
世豐螺絲廠股份有限公司,0.0,0.0,0.0,0.0
世貫貿易有限公司,0.0,0.0,0.0,0.0
世進傢俱企業社,100000.0,0.0,0.0,0.0
世邦聯合空運代理股份有限公司,0.0,100000.0,0.0,0.0
世錩建材有限公司,0.0,0.0,0.0,0.0
世鎧精密股份有限公司,100000.0,0.0,0.0,0.0
世陽股份有限公司,0.0,0.0,0.0,0.0
世頂工程有限公司,0.0,0.0,0.0,0.0
丙偉有限公司,0.0,20000.0,0.0,0.0
丙偉磁磚公司,0.0,0.0,0.0,0.0
丞寬企業股份有限公司,0.0,0.0,0.0,0.0
丞慶汽車股份有限公司,0.0,60000.0,0.0,0.0
丞曜實業有限公司,0.0,250000.0,0.0,0.0
丞泰企業有限公司,0.0,20000.0,0.0,0.0
丞賀有限公司,12000.0,0.0,0.0,0.0
丞風塑膠企業有限公司,0.0,0.0,0.0,50000.0
中一行實業股份有限公司,0.0,0.0,0.0,0.0
中一電工科技股份有限公司,0.0,0.0,0.0,0.0
中京工業(股)公司,0.0,0.0,0.0,0.0
中佑房屋仲介有限公司,0.0,0.0,0.0,0.0
中保物流股份有限公司,0.0,0.0,0.0,1000000.0
中信企業(股)公司,0.0,0.0,0.0,0.0
中信企業股份有限公司,0.0,0.0,0.0,0.0
中信期貨股份有限公司,0.0,0.0,0.0,0.0
中信營造工程股份有限公司,300000.0,0.0,0.0,0.0
中信理貨有限公司,0.0,0.0,0.0,0.0
中信証券股份有限公司,0.0,0.0,0.0,0.0
中信證券(股)公司,0.0,0.0,0.0,0.0
中信造船股份有限公司,0.0,0.0,0.0,0.0
中冠君企業有限公司,0.0,0.0,0.0,0.0
中冠寶線經紀人股份公司,0.0,0.0,0.0,0.0
中加投資發展股份有限公司,0.0,0.0,0.0,0.0
中加顧問股份有限公司,0.0,0.0,0.0,0.0
中勤人力資源管理顧問有限公司,0.0,0.0,0.0,0.0
中化合成生技股份有限公司,0.0,0.0,0.0,0.0
中化興實業(股)公司,0.0,0.0,0.0,0.0
中化興實業股份有限公司,0.0,0.0,0.0,0.0
中化興業股份有限公司,0.0,0.0,0.0,0.0
中北塗料企業（股）,0.0,0.0,0.0,0.0
中區科技工程股份有限公司,20000.0,0.0,0.0,0.0
中南汽車客運股份有限公司,0.0,50000.0,0.0,0.0
中博實業股份有限公司,0.0,0.0,0.0,0.0
中印煤炭股份有限公司,0.0,0.0,0.0,0.0
中原煤氣行,0.0,0.0,0.0,0.0
中台汽車駕訓班,0.0,0.0,0.0,0.0
中台資源科技股份有限公司,200000.0,400000.0,0.0,0.0
中國人壽保險(股)公司,0.0,0.0,0.0,0.0
中國人壽保險股份有限公司,0.0,0.0,0.0,0.0
中國人造纖維股份有限公司,1600000.0,200000.0,0.0,0.0
中國化學製藥股份有限公司,0.0,0.0,0.0,0.0
中國巴斯特股份公司,0.0,0.0,0.0,0.0
中國房屋開發股份有限公司,0.0,0.0,0.0,0.0
中國石油化學工業開發(股)公司,0.0,0.0,0.0,0.0
中國石油化學工業開發股份有限公司,0.0,0.0,0.0,0.0
中國聯運股份有限公司,0.0,0.0,0.0,0.0
中國製岫股份有限公司,0.0,0.0,0.0,0.0
中國製釉股份有限公司,100000.0,100000.0,0.0,100000.0
中國變速工程股份有限公司,0.0,0.0,0.0,0.0
中國農業科技股份有限公司,500000.0,0.0,0.0,0.0
中國電子(股),0.0,0.0,0.0,0.0
中國電子股份有限公司,0.0,0.0,0.0,0.0
中埔混凝土股份有限公司,0.0,0.0,0.0,0.0
中壢汽車客運股份有限公司,150000.0,0.0,0.0,0.0
中大營造股份有限公司,550000.0,1200000.0,0.0,0.0
中大葯品股份有限公司,0.0,0.0,0.0,0.0
中大藥品股份有限公司,0.0,50000.0,0.0,0.0
中奕機電有限公司,0.0,0.0,500.0,0.0
中奕消防工程有限公司,0.0,0.0,0.0,0.0
中孚行國際企業有限公司,0.0,0.0,100.0,0.0
中寰營造股份有限公司,0.0,0.0,0.0,0.0
中山健康管理股份有限公司,0.0,0.0,0.0,0.0
中島建設股份有限公司,0.0,0.0,0.0,0.0
中工機械股份有限公司,500000.0,600000.0,0.0,0.0
中工管理顧問有限公司,0.0,0.0,0.0,0.0
中建營造有限公司,0.0,0.0,0.0,0.0
中德企業社,0.0,0.0,0.0,0.0
中心體育用品社,0.0,0.0,0.0,0.0
中悅建設開發股份有限公司,0.0,0.0,0.0,0.0
中慶毛刷廠股份有限公司,0.0,0.0,0.0,0.0
中成開發投資股份有限公司,2400000.0,0.0,0.0,0.0
中投有線電視(股)公司,0.0,0.0,0.0,0.0
中投有線電視股份有限公司,700000.0,1280000.0,0.0,0.0
